ID,Chla,Precip,Depth,Area,WRT,Vol,TNLA,TrophicIndex,En/Lin-N,De/Lin-N,ln(En/Lin)-N,ln(De/Lin)-N,En/Lin-P,De/Lin-P,ln(En/Lin)-P,ln(De/Lin)-P,ln(En/De) of N,ln(En/De) of P,Long,Lat
4,13.225,883.1982857,11.9,23923.04,1464.3,2.84E+11,18.3788,3,4.34E-05,0.078461329,-10.04578077,-2.545149403,4.23E-05,0.088337348,-10.07184854,-2.42659229,-7.500631365,-7.645256252,-97.8062,52.5327
5,1.6,985.8603428,146.7,81843.92,48410.3,1.20E+13,21.0185,1,2.51E-06,0.338704952,-12.89641532,-1.082625898,1.65E-06,0.189256133,-13.31499583,-1.66465398,-11.81378942,-11.65034185,-87.7565,47.5265
65,61.4,731.4267428,26.6,1092.54,349,29110000000,25.8491,4,0.000355855,0.116213994,-7.940987723,-2.152322016,0.000412639,0.164477247,-7.792936818,-1.804983033,-5.788665707,-5.987953785,-73.3087,44.5891
66,3.5,964.5164572,2.9,1161.17,4.2,3400000000,25.2875,2,7.12E-05,0.003812579,-9.549761626,-5.569449537,0.000169066,0.015961823,-8.685218884,-4.137555485,-3.980312089,-4.547663398,-100.522,45.2034
107,14.75,885.1421714,6.3,4042.34,295.9,25400000000,18.3782,3,0.000197949,0.054501802,-8.527503379,-2.909521513,0.000195341,0.085372424,-8.5407651,-2.46073214,-5.617981866,-6.080032961,-82.6735,42.453
124,0.4,331.4918857,54.4,1383.23,15735.6,75200000000,15.7623,1,0.000205859,0.776368043,-8.488321467,-0.253128588,0.000103019,0.526697619,-9.180594336,-0.641128674,-8.235192879,-8.539465662,-80.8027,26.9449
280,1.2,433.1456,25.2,184.05,5670,4643140000,9.3253,1,0.002439168,0.862881803,-6.016098397,-0.147477558,0.00077789,0.714237748,-7.158925741,-0.336539392,-5.868620839,-6.822386349,13.2903,58.9105
713,3.6,1189.626514,23.4,209.17,349.3,4884520000,19.469,2,0.000818075,0.132669101,-7.108556564,-2.019897212,0.001104679,0.203915893,-6.808200121,-1.590047658,-5.088659352,-5.218152463,38.2512,58.504
715,5.233,497.5019429,45.4,163.81,269.8,7434200000,17.864,2,0.000619357,0.123055812,-7.386828816,-2.095117272,0.000814565,0.199615434,-7.112856043,-1.611362595,-5.291711543,-5.501493448,117.3982,48.9463
735,3.8,1151.255771,2.7,248.33,385.3,678400000,21.4788,2,0.003419627,0.132452552,-5.678223763,-2.021530799,0.004016551,0.199668367,-5.517331738,-1.611097456,-3.656692964,-3.906234283,93.3113,49.1785
746,7.9,1231.772114,7.8,516.15,5105.7,4022710000,21.9809,3,0.004424535,0.773407884,-5.4205902,-0.256948706,0.00352703,0.627169898,-5.647299157,-0.466537805,-5.163641495,-5.180761352,132.3965,44.9929
748,6.1,1034.332686,11.8,173.33,288.6,2042270000,19.9154,2,0.0014938,0.125844282,-6.506432404,-2.07270999,0.001931661,0.201268923,-6.249374832,-1.603113341,-4.433722415,-4.646261491,120.1882,31.2036
764,1.9,801.1248,10.3,228.45,27.5,2343600000,25.0898,1,0.000153787,0.024316417,-8.779943994,-3.716603572,0.000173632,0.06569763,-8.658570602,-2.722692425,-5.063340422,-5.935878177,-96.0347,64.5788
766,1.2,1125.8296,4,118.75,156.8,473600000,22.5456,1,0.001537801,0.097605787,-6.477402003,-2.326818493,0.001128353,0.177781067,-6.786996067,-1.727202448,-4.15058351,-5.059793619,-92.7507,48.447
767,10.761,1223.494285,24.5,113.39,2704.5,2775300000,21.6291,3,0.006342252,0.912562422,-5.060521364,-0.091498788,0.005646274,0.834655697,-5.176759348,-0.180735978,-4.969022576,-4.99602337,-115.2487,48.9156
769,42.034,135.7404571,2.5,300.28,706.1,747730000,20.9228,4,0.013056706,0.302394818,-4.338453438,-1.19602177,0.008456357,0.359840364,-4.772836777,-1.02209478,-3.142431667,-3.750741997,-116.4388,48.1565
770,20.1,1220.418515,11.1,206.85,283.8,2296120000,24.4486,3,0.001949398,0.165806553,-6.240234566,-1.796933512,0.002356415,0.25186862,-6.050614002,-1.378847678,-4.443301055,-4.671766324,-120.3544,48.0367
771,3.733,150.9274285,6.9,122,1352.8,844840000,21.1074,2,0.006451853,0.395610819,-5.043387942,-0.927324332,0.00678778,0.447281311,-4.992631392,-0.804567552,-4.11606361,-4.18806384,-94.1937,47.4451
777,189,155.3322286,2.3,276.63,136.3,646000000,19.4398,4,0.007392304,0.106382727,-4.907315768,-2.240712059,0.005245119,0.182023382,-5.250457409,-1.70362013,-2.666603708,-3.546837279,-93.646,46.2426
786,1.6,122.156,47.7,102.47,444.8,4890700000,27.5842,1,0.00038604,0.204306056,-7.859569102,-1.588136133,0.00038365,0.29481704,-7.865779459,-1.221400318,-6.271432969,-6.644379141,-66.0345,45.9567
791,0.3,90.25794286,26.8,476.87,2339.3,12800440000,23.8205,1,0.000321738,0.335620368,-8.041772892,-1.091774615,0.000232002,0.342329608,-8.368765381,-1.07198124,-6.949998277,-7.296784141,-88.4712,44.0354
795,1.8,89.47268572,24.2,142,3777.9,3440320000,19.4245,1,0.001733157,0.730778439,-6.357810402,-0.313644958,0.00092667,0.659496749,-6.983912634,-0.416278237,-6.044165444,-6.567634397,-99.7749,44.1833
796,20.1,1307.537485,34.3,186.84,247.5,6416600000,28.6565,3,0.000759094,0.157637611,-7.183384617,-1.847456483,0.001199077,0.246490918,-6.726203012,-1.400430132,-5.335928134,-5.32577288,-110.6737,43.9003
797,5.5,1227.440915,18.8,175.89,103.1,3302000000,28.8009,2,0.000474014,0.06381527,-7.654273778,-2.751762772,0.000995104,0.128218642,-6.912663607,-2.054018331,-4.902511006,-4.858645276,-70.5487,43.8556
799,2.011,162.0864,59,138.79,205.3,8187250000,35.2912,2,0.000296551,0.109667642,-8.123290318,-2.210300921,0.000775943,0.18857284,-7.161431312,-1.66827093,-5.912989396,-5.493160382,-73.5798,43.6011
800,16.3,1151.862971,10.1,255.13,41.7,2568100000,28.8507,3,0.00059873,0.043628394,-7.420699109,-3.132047107,0.001029495,0.101626933,-6.878686498,-2.286446692,-4.288652002,-4.592239806,-118.8104,43.3261
801,78.3,1199.433943,13.2,574.74,40.9,7560000000,28.8507,4,0.000384224,0.036565843,-7.864285821,-3.308640734,0.000554647,0.082483877,-7.497178806,-2.495152433,-4.555645087,-5.002026373,-75.91,43.2032
802,0.1,195.5500572,207.6,120.75,515.9,25070000000,29.8783,1,0.000107472,0.21138614,-9.138280496,-1.554068771,0.000133504,0.295831365,-8.921375547,-1.2179657,-7.584211725,-7.703409846,-119.1265,43.2351
804,23.4,1141.018743,36.2,118.07,334.1,4270300000,29.031,3,0.00132228,0.228741491,-6.628397745,-1.475162775,0.002007521,0.33262246,-6.210854475,-1.100747186,-5.15323497,-5.11010729,-112.7432,42.9262
806,4,1227.828114,26.7,101.64,132.5,2710000000,31.0389,2,0.000667232,0.092798754,-7.312373397,-2.377322071,0.001477397,0.175080946,-6.517473212,-1.742506862,-4.935051326,-4.77496635,-121.9279,42.4127
807,3.6,1201.744115,16.8,114.71,237.5,1923300000,31.0228,2,0.0011122,0.129780634,-6.801415674,-2.041909685,0.002204528,0.215519204,-6.117241886,-1.534705261,-4.759505989,-4.582536625,-122.3109,40.7843
808,14.8,1039.561371,43.6,153.16,341.4,6670700000,29.4572,3,0.000886604,0.209967317,-7.028112393,-1.560803395,0.001397859,0.30492867,-6.572813306,-1.187677399,-5.467308998,-5.385135908,-119.5659,40.0481
809,8.257,109.8934857,63.2,580.95,724,36700000000,32.0833,3,0.000237558,0.205927763,-8.345100523,-1.580229835,0.000405353,0.257776862,-7.810752884,-1.355660944,-6.764870689,-6.45509194,-118.7144,38.6952
811,3.446,1085.992229,29.6,118.45,1086.2,3508000000,29.3598,2,0.001531579,0.346594805,-6.481455738,-1.05959889,0.002561991,0.411217898,-5.966970571,-0.888632039,-5.421856848,-5.078338532,-93.5222,38.2172
812,56.387,1792.9592,2.6,158.51,880,412090000,28.7531,4,0.020913416,0.446202263,-3.86736443,-0.806982926,0.016935421,0.501376246,-4.078347913,-0.69039847,-3.060381504,-3.387949443,-92.8323,38.175
814,3.8,1059.780914,4.8,135.41,7.4,648400000,31.6345,2,0.000455621,0.012589899,-7.693849373,-4.374860421,0.001198162,0.045172096,-6.726966977,-3.097275733,-3.318988953,-3.629691245,-110.6159,37.6028
815,4.4,1071.701829,13.3,354.96,272.7,4718600000,31.1977,2,0.000461421,0.092120222,-7.681199784,-2.384660792,0.000914217,0.150637178,-6.997442466,-1.892881127,-5.296538992,-5.104561339,-87.951,36.7695
823,1.1,1381.645829,23.5,133.83,563.8,3150300000,28.1883,1,0.000566037,0.215365023,-7.476851936,-1.535420911,0.00051442,0.295940257,-7.572470303,-1.21759768,-5.941431025,-6.354872622,-88.0503,36.376
824,4.6,1416.954629,15,180.93,320.3,2713700000,29.4481,2,0.000943756,0.132524996,-6.965642765,-2.020983999,0.001699561,0.207237532,-6.377385103,-1.573889648,-4.944658765,-4.803495455,-111.3745,37.026
825,32.2,960.1118857,24.4,263.1,381.7,6406900000,32.0302,4,0.001413785,0.212722341,-6.561484482,-1.547767525,0.001795985,0.289558921,-6.322201669,-1.239396477,-5.013716957,-5.082805192,-93.4436,36.6051
831,26.1,452.0909714,26.6,110.37,638.8,2932400000,28.1633,3,0.002513287,0.358703427,-5.986164018,-1.02525934,0.003309372,0.451452563,-5.71099684,-0.795284977,-4.960904677,-4.915711863,-94.8992,36.5663
832,17.3,845.5812571,14.9,137.67,1307.5,2047600000,32.1011,3,0.003979414,0.526554897,-5.526620585,-0.641399685,0.005140246,0.567180692,-5.270654361,-0.567077345,-4.8852209,-4.703577016,-95.5952,36.5494
