ID,Area,Chla,TNmean,TN5,TN95,TPmean,TP5,TP95,N_Load,N_EN,N_DE,N_Outflow,P_Load,P_EN,P_DE,P_Outflow
NLA12_AL-102,0.38,10.0,0.88,0.74,1.0,0.074,0.059,0.09,0.012430674846625767,0.006563069079680324,0.005632000000000001,0.01338722944785276,0.0011312883435582821,0.001643105978681633,0.0016279999999999999,0.0011257442944785274
NLA12_AL-105,0.31,144.8,3.1,2.2,4.3,0.14,0.095,0.19,0.0011634615384615386,0.02535054509061303,0.01984,0.007211076923076923,0.00021057692307692308,0.002978728454863284,0.0030800000000000003,0.0003256615384615385
NLA12_AL-113,0.2,1.27,0.46,0.35,0.6,0.047,0.032,0.065,0.0656377358490566,0.0026049842920973934,0.0029440000000000004,0.0649401962264151,0.007641509433962264,6.150057079193251e-5,0.001034,0.0066351939622641505
NLA12_AL-114,0.2,17.5,2.2,1.8,2.6,0.21,0.16,0.27,0.006782692307692307,0.029511148809199785,0.014080000000000002,0.02302892307692308,0.0008788461538461539,0.005797390312802168,0.00462,0.0021982153846153846
NLA12_AR-101,0.48,52.4,3.2,2.4,4.1,0.16,0.12,0.2,0.016675609756097564,0.011208852853140093,0.02048,0.008226965853658537,0.002340975609756098,0.0015098259568056599,0.0035199999999999997,0.00041134829268292685
NLA12_AR-102,1.01,74.0,0.03,0.024,0.035,0.0034,0.0024,0.0044,0.0015891156462585034,0.016661277840972197,0.000192,0.018307983673469388,6.938775510204082e-5,0.002106815982789369,7.479999999999999e-5,0.0020749048163265305
NLA12_AR-103,21.07,4.944,0.37,0.26,0.5,0.037,0.025,0.051,0.010706480743691899,2.5979553700454342e-5,0.002368,0.00828210358565737,0.0016395174856131032,5.734506145472162e-6,0.0008139999999999999,0.000828210358565737
NLA12_AR-104,0.29,6.624,0.91,0.64,1.2,0.082,0.059,0.11,0.02302529411764706,0.004508048642443356,0.005824,0.021783472941176468,0.0026170588235294116,0.0011667613562948394,0.001804,0.0019629063529411762
NLA12_AR-106,2.02,59.2,0.68,0.57,0.81,0.033,0.027,0.039,0.006764906490649065,0.0025922034172573757,0.004352000000000001,0.005002645544554456,0.0006124312431243124,0.00034059871892166873,0.000726,0.0002427754455445545
NLA12_AZ-101,4.1,3.228,0.45,0.11,1.1,0.096,0.027,0.22,0.008031472320376914,4.169824188969937e-5,0.0028350000000000003,0.005279711660777385,0.0029406242638398117,2.372996834717246e-5,0.001824,0.001126338487632509
