Id,Chla,Depth,Area,WRT,Vol,T
4,13.225,11.9,23923.04,1464.3,284000,15.986289
5,1.6,146.7,81843.92,48410.3,12004000,17.46996
65,61.4,26.6,1092.54,349,29110,22.465995
66,3.5,2.9,1161.17,4.2,3400,21.456695
107,14.75,6.3,4042.34,295.9,25400,15.168756
124,0.4,54.4,1383.23,15735.6,75200,14.310851
280,1.2,25.2,184.05,5670,4643.14,8.416539
713,3.6,23.4,209.17,349.3,4884.52,16.218428
715,5.233,45.4,163.81,269.8,7434.2,13.977782
735,3.8,2.7,248.33,385.3,678.4,18.226935
746,7.9,7.8,516.15,5105.7,4022.71,18.600376
748,6.1,11.8,173.33,288.6,2042.27,16.490939
764,1.9,10.3,228.45,27.5,2343.6,21.70902
766,1.2,4,118.75,156.8,473.6,18.842608
767,10.761,24.5,113.39,2704.5,2775.3,17.924145
769,42.034,2.5,300.28,706.1,747.73,17.187356
770,20.1,11.1,206.85,283.8,2296.12,20.649255
771,3.733,6.9,122,1352.8,844.84,17.308472
777,189,2.3,276.63,136.3,646,15.431174
786,1.6,47.7,102.47,444.8,4890.7,23.344086
791,0.3,26.8,476.87,2339.3,12800.44,19.912466
795,1.8,24.2,142,3777.9,3440.32,15.592662
796,20.1,34.3,186.84,247.5,6416.6,24.605711
797,5.5,18.8,175.89,103.1,3302,24.73692
799,2.011,59,138.79,205.3,8187.25,31.408393
800,16.3,10.1,255.13,41.7,2568.1,24.575432
801,78.3,13.2,574.74,40.9,7560,24.575432
802,0.1,207.6,120.75,515.9,25070,25.867336
804,23.4,36.2,118.07,334.1,4270.3,24.757106
806,4,26.7,101.64,132.5,2710,26.846357
807,3.6,16.8,114.71,237.5,1923.3,26.846357
808,14.8,43.6,153.16,341.4,6670.7,25.130547
809,8.257,63.2,580.95,724,36700,27.815285
811,3.446,29.6,118.45,1086.2,3508,24.969059
812,56.387,2.6,158.51,880,412.09,24.141433
814,3.8,4.8,135.41,7.4,648.4,27.290449
815,4.4,13.3,354.96,272.7,4718.6,26.866543
823,1.1,23.5,133.83,563.8,3150.3,23.414737
824,4.6,15,180.93,320.3,2713.7,24.686455
825,32.2,24.4,263.1,381.7,6406.9,27.542774
831,26.1,26.6,110.37,638.8,2932.4,23.707434
832,17.3,14.9,137.67,1307.5,2047.6,27.46203
833,2.5,15,134.03,183.1,2004.4,24.343293
835,39.3,11.3,118.06,719.7,1338.3,28.107982
836,15.05,13.7,156.51,813.5,2150,27.068403
839,9.6,20.6,380.2,1022.2,7815.6,25.685662
842,9.95,1.5,236.99,24.9,366.99,25.433337
848,3.8,48.1,131.53,429.9,6330,28.541981
870,1.529,72.2,122.74,3705.2,8855.81,16.390009
1117,189,5.4,640.85,360.8,3428.88,13.43276
1164,48.65,7.6,259.79,736.7,1986.67,14.250293
