,,Trophic state （distribution%）,14.22,37.16,30.57,18.34,,,,,,,,,,,,,
,,Trophic state ,Oligotrophic,Mesotrophic,Eutrophic,Hyper_eutrophic,,,,,,,,,,,,,
SA bin min km2,SA bin max km2,Total SA km2,,Total lake surface area according to trophic state distribution(km2),,,,,,,,,,,,,,,
-,0.001,504670,71757,187517,152748,92547,,,,,,,,,,,,,
0.001,0.01,692600,98478,257344,209629,127010,,,,,,,,,,,,,
0.01,0.1,675234,96009,250892,204373,1.24E+05,,,,,,,,,,,,,
0.1,1,984651,140003,365860,298024,180567,,,,,,,,,,,,,
1,10,477540,67899,177436,144537,87572,,,,,,,,,,,,,
10,100,423002,60145,157172,128030,77571,,,,,,,,,,,,,
100,1000,371666,52846,138097,112492,68157,,,,,,,,,,,,,
1000,10000,314996,44788,117041,95340,57764,,,,,,,,,,,,,
10000,-,1017769,144712,378165,308048,186640,,,,,,,,,,,,,
