"","ID","Chla","Depth","Area","WRT","Vol","T","TI","TrophicIndex"
"1","NLA12_AL-102",10,4.28947368421053,0.38,65.7,1630000,30.2,"2","3"
"2","NLA12_AL-105",144.8,3.35483870967742,0.31,428.8,1040000,30.9333333333333,"3","4"
"3","NLA12_AL-113",1.27,2.65,0.2,7.1,530000,27.975,"1","1"
"4","NLA12_AL-114",17.5,2.6,0.2,94.9,520000,32.3,"2","3"
"5","NLA12_AR-101",52.4,4.27083333333331,0.48,388.1,2050000,29.3733333333333,"3","4"
"6","NLA12_AR-102",74,1.45544554455446,1.01,1.6,1470000,26.35,"3","4"
"7","NLA12_AR-103",4.944,10.7214048410062,21.07,44.7,225900000,27.9,"1","2"
"8","NLA12_AR-104",6.624,5.86206896551724,0.29,41.8,1700000,29.5,"1","2"
"9","NLA12_AR-106",59.2,4.5,2.02,135.9,9090000,27.85,"3","4"
"10","NLA12_AZ-101",3.228,20.7073170731707,4.1,85.2,84900000,22.8266666666667,"1","2"
"11","NLA12_AZ-102",32.3,3.31372549019608,0.51,208.5,1690000,20.6,"3","4"
"12","NLA12_AZ-103",15.34,2.98039215686275,0.51,4409.3,1520000,21.1866666666667,"2","3"
"13","NLA12_AZ-127",13.056,5,0.18,176.4,9e+05,16.2666666666667,"2","3"
"14","NLA12_AZ-145",39.2,4.54901960784314,0.51,1920,2320000,21.1,"3","4"
"15","NLA12_CA-101",14,8.70662460567823,3.17,200.4,27600000,19.85,"2","3"
"16","NLA12_CA-102",99,15.3101736972705,4.03,332.9,61700000,24.5333333333333,"3","4"
"17","NLA12_CA-103",0.2,28.844537815126,4.76,592.7,137300000,22.3,"1","1"
"18","NLA12_CA-104",2.2,12.974358974359,1.17,2019.5,15180000,17.8,"1","2"
"19","NLA12_CA-106",176,2.0952380952381,0.63,17.1,1320000,26.95,"3","4"
"20","NLA12_CA-107",3.8,7.07246376811594,0.69,348.6,4880000,18.6,"1","2"
"21","NLA12_CA-108",9,5.21875,0.32,0.5,1670000,19.2,"2","3"
"22","NLA12_CA-111",3.2,6.47435897435897,0.78,6.9,5050000,24.925,"1","2"
"23","NLA12_CA-112",3.4,5.61290322580645,0.31,8.7,1740000,26.25,"1","2"
"24","NLA12_CA-116",1.4,8.375,0.16,554.5,1340000,15,"1","1"
"25","NLA12_CA-121",2.8,28.5112359550562,3.56,169.5,101500000,27.5,"1","2"
"26","NLA12_CA-132",4,6.38709677419355,0.31,34.2,1980000,20.05,"1","2"
"27","NLA12_CA-135",3.8,11.2236286919831,2.37,699.7,26600000,19.25,"1","2"
"28","NLA12_CA-154",3.3,5.89655172413793,0.29,34.4,1710000,20.9,"1","2"
"29","NLA12_CA-156",31,1.81818181818182,0.44,1.7,8e+05,25.2333333333333,"3","4"
"30","NLA12_CA-157",3.4,2.63333333333333,1.2,523.1,3160000,19.6,"1","2"
"31","NLA12_CA-172",0.8,5.22222222222222,0.18,338.9,940000,23.35,"1","1"
"32","NLA12_CA-188",13,36.7375886524823,1.41,1400.8,51800000,22.15,"2","3"
"33","NLA12_CA-190",33,3.68965517241379,0.58,191.8,2140000,24.9333333333333,"3","4"
"34","NLA12_CA-208",9,6.25136612021858,1.83,208.2,11440000,22.3,"2","3"
"35","NLA12_CA-212",2,8.74074074074074,0.27,514.5,2360000,18.2,"1","1"
"36","NLA12_CA-223",0.8,5.39473684210524,0.38,112.5,2050000,13.8,"1","1"
"37","NLA12_CO-101",12.667,1.61784037558685,10.65,199467.8,17230000,22.3571428571429,"2","3"
"38","NLA12_CO-103",4.768,12.5636672325976,5.89,12412.8,7.4e+07,20.7,"1","2"
"39","NLA12_CO-104",218,3.01315789473684,0.76,698,2290000,18.925,"3","4"
"40","NLA12_CO-105",101.3,3.33333333333333,0.36,577.8,1200000,20.5666666666667,"3","4"
"41","NLA12_CO-106",2.2,6.55502392344498,2.09,5115,13700000,24.5,"1","2"
"42","NLA12_CO-107",1.224,7.9375,0.48,203.2,3810000,14.9,"1","1"
"43","NLA12_CO-109",5.993,6.6078431372549,0.51,591.6,3370000,15.7,"1","2"
"44","NLA12_CO-110",15.62,2.57894736842105,0.19,5614.6,490000,18.3666666666667,"2","3"
"45","NLA12_CO-111",3.513333333,7.46575342465754,2.92,3039.9,21800000,20.5,"1","2"
"46","NLA12_CO-114",5.8,4.27272727272727,0.11,676.3,470000,19.0333333333333,"1","2"
"47","NLA12_CO-117",6.102857143,3.84090909090909,0.44,609.8,1690000,22.3666666666667,"1","2"
"48","NLA12_CO-127",97.2,1.68181818181818,0.22,240,370000,21.7666666666667,"3","4"
"49","NLA12_CO-131",1.762857143,2.66666666666667,0.18,367.1,480000,17.6,"1","1"
"50","NLA12_CO-133",1.104,8.61538461538462,0.13,209.4,1120000,13.9,"1","1"
"51","NLA12_CT-101",3.664,4.11764705882353,0.17,31.6,7e+05,23.3285714285714,"1","2"
"52","NLA12_CT-102",1.52,6.59090909090909,0.88,713.7,5800000,22.6666666666667,"1","1"
"53","NLA12_CT-103",2.324,8,0.46,63.4,3680000,27.2,"1","2"
"54","NLA12_CT-104",28.404,4.12903225806452,0.31,7.5,1280000,26.2666666666667,"2","3"
"55","NLA12_CT-105",26.08,4.54545454545455,0.11,192.1,5e+05,22.3,"2","3"
"56","NLA12_CT-107",4.277333333,4.03571428571429,0.28,46.4,1130000,26.0333333333333,"1","2"
"57","NLA12_CT-108",7.84,5.9,0.4,175.1,2360000,26.2,"2","3"
"58","NLA12_CT-115",3.432,5.79166666666667,0.96,374.4,5560000,24.1833333333333,"1","2"
"59","NLA12_CT-118",2.112,3.81818181818182,0.22,237.3,840000,28.7,"1","2"
"60","NLA12_CT-126",2.82,5.37037037037037,0.27,246,1450000,25.6,"1","2"
"61","NLA12_DE-101",92.8,2.26190476190476,0.42,17,950000,25.625,"3","4"
"62","NLA12_DE-102",78,2.18181818181818,0.22,5,480000,25.1,"3","4"
"63","NLA12_DE-103",12.72,2.11111111111111,0.18,1.8,380000,27.9,"2","3"
"64","NLA12_DE-107",8.48,1.68421052631579,0.19,3.5,320000,22.5,"2","3"
"65","NLA12_FL-102",23.52,3.50387596899225,2.58,52.7,9040000,29.6883333333333,"2","3"
"66","NLA12_FL-103",80.9,10.8046387154326,123.31,3025.4,1332320000,30.25,"3","4"
"67","NLA12_FL-104",16.32,3.29411764705882,0.34,187.6,1120000,28.5666666666667,"2","3"
"68","NLA12_FL-106",3.144,2.23809523809524,0.21,196.2,470000,26.975,"1","2"
"69","NLA12_FL-107",2.3776,2.40740740740741,0.27,46.5,650000,27.2333333333333,"1","2"
"70","NLA12_FL-108",34.48888889,6.40803602355386,28.87,34.6,1.85e+08,29.8333333333333,"3","4"
"71","NLA12_FL-123",1.952,2.1,0.3,33.6,630000,29.925,"1","1"
"72","NLA12_FL-126",11.30666667,1.5601105481345,21.71,16.3,33870000,30.175,"2","3"
"73","NLA12_FL-132",34.572,2.30645161290323,5.58,290.4,12870000,31.3,"3","4"
"74","NLA12_FL-141",17.25714286,4.0952380952381,0.21,5,860000,31.175,"2","3"
"75","NLA12_GA-103",24.48,3.29411764705882,0.17,13.6,560000,28.9,"2","3"
"76","NLA12_GA-104",5.024,22.8251864125932,36.21,166.1,826500000,30.7966666666667,"1","2"
"77","NLA12_GA-118",1.35,4.5,0.14,346.3,630000,25.6466666666667,"1","1"
"78","NLA12_GA-127",21.8,3.70833333333333,0.72,3.5,2670000,30.7375,"2","3"
"79","NLA12_IA-101",79.8,3.36756756756757,3.7,581.4,12460000,24.7,"3","4"
"80","NLA12_IA-102",88,2.68421052631579,0.19,372.4,510000,28.3,"3","4"
"81","NLA12_IA-104",4.8,4.95384615384615,0.65,517.6,3220000,29.7333333333333,"1","2"
"82","NLA12_IA-105",91.9,1.87341772151899,1.58,365,2960000,23.38,"3","4"
"83","NLA12_IA-107",104,3.48910411622276,4.13,548.7,14410000,21.15,"3","4"
"84","NLA12_IA-109",5.268571429,3.0625,0.48,893.8,1470000,22.9725,"1","2"
"85","NLA12_IA-113",15.9,3.68032786885246,1.22,405.6,4490000,26.5666666666667,"2","3"
"86","NLA12_IA-120",6.613333333,2.77383966244725,11.85,882.6,32870000,24.3428571428571,"1","2"
"87","NLA12_IA-127",14.34666667,3.66666666666667,0.33,215,1210000,29.4666666666667,"2","3"
"88","NLA12_IA-132",91.2,3.3,0.5,1002.1,1650000,21.365,"3","4"
"89","NLA12_IA-134",86,4.78378378378378,0.37,85.6,1770000,27.3,"3","4"
"90","NLA12_IA-150",72.8,3.04545454545455,0.22,23.6,670000,29.0666666666667,"3","4"
"91","NLA12_IA-152",62.4,2.52759381898455,4.53,844.1,11450000,27.8,"3","4"
"92","NLA12_ID-101",1.168,12.9253112033195,2.41,361.6,31150000,22.2225,"1","1"
"93","NLA12_ID-103",3.562666667,6.58163265306122,2.94,311.4,19350000,26.3266666666667,"1","2"
